timestamp,hours_from_start,breach_flow_cfs,breach_velocity_fts,breach_width_ft,breach_bottom_elev_ft
04SEP2026 04:00:00,4.0008,3754.697,4.525,328.0,170.0
04SEP2026 04:01:00,4.0176,3721.853,4.514,328.0,170.0
04SEP2026 04:02:00,4.0344,3689.424,4.504,328.0,170.0
04SEP2026 04:03:00,4.0512,3657.377,4.494,328.0,170.0
04SEP2026 04:04:00,4.0656,3625.679,4.484,328.0,170.0
04SEP2026 04:05:00,4.0824,3594.391,4.474,328.0,170.0
04SEP2026 04:06:00,4.0992,3563.476,4.464,328.0,170.0
04SEP2026 04:07:00,4.1160000000000005,3532.905,4.454,328.0,170.0
04SEP2026 04:08:00,4.1328,3502.735,4.445,328.0,170.0
04SEP2026 04:09:00,4.1495999999999995,3472.875,4.435,328.0,170.0
04SEP2026 04:10:00,4.1664,3443.381,4.426,328.0,170.0
04SEP2026 04:11:00,4.1832,3414.25,4.416,328.0,170.0
04SEP2026 04:12:00,4.199999999999999,3385.451,4.407,328.0,170.0
04SEP2026 04:13:00,4.2168,3356.955,4.398,328.0,170.0
04SEP2026 04:14:00,4.2336,3328.816,4.389,328.0,170.0
04SEP2026 04:15:00,4.2504,3301.004,4.38,328.0,170.0
04SEP2026 04:16:00,4.267200000000001,3273.515,4.371,328.0,170.0
04SEP2026 04:17:00,4.284,3246.322,4.362,328.0,170.0
04SEP2026 04:18:00,4.3008,3219.449,4.353,328.0,170.0
04SEP2026 04:19:00,4.3176000000000005,3192.894,4.344,328.0,170.0
04SEP2026 04:20:00,4.3344000000000005,3166.629,4.336,328.0,170.0
04SEP2026 04:21:00,4.3511999999999995,3140.678,4.327,328.0,170.0
04SEP2026 04:22:00,4.365600000000001,3115.01,4.318,328.0,170.0
04SEP2026 04:23:00,4.3824000000000005,3089.629,4.31,328.0,170.0
04SEP2026 04:24:00,4.3991999999999996,3064.527,4.302,328.0,170.0
04SEP2026 04:25:00,4.416,3039.734,4.294,328.0,170.0
04SEP2026 04:26:00,4.4328,3015.191,4.285,328.0,170.0
04SEP2026 04:27:00,4.4496,2990.926,4.277,328.0,170.0
04SEP2026 04:28:00,4.4664,2966.933,4.269,328.0,170.0
04SEP2026 04:29:00,4.4832,2943.215,4.262,328.0,170.0
04SEP2026 04:30:00,4.5,2919.741,4.254,328.0,170.0
04SEP2026 04:31:00,4.5168,2896.538,4.246,328.0,170.0
04SEP2026 04:32:00,4.5336,2873.603,4.238,328.0,170.0
04SEP2026 04:33:00,4.5504,2850.908,4.231,328.0,170.0
04SEP2026 04:34:00,4.5672,2828.451,4.223,328.0,170.0
04SEP2026 04:35:00,4.584,2806.259,4.216,328.0,170.0
04SEP2026 04:36:00,4.6008000000000004,2784.303,4.208,328.0,170.0
04SEP2026 04:37:00,4.6175999999999995,2762.581,4.201,328.0,170.0
04SEP2026 04:38:00,4.634399999999999,2741.092,4.194,328.0,170.0
04SEP2026 04:39:00,4.6512,2719.859,4.187,328.0,170.0
04SEP2026 04:40:00,4.6655999999999995,2698.833,4.18,328.0,170.0
04SEP2026 04:41:00,4.6823999999999995,2678.034,4.173,328.0,170.0
04SEP2026 04:42:00,4.6992,2657.463,4.166,328.0,170.0
04SEP2026 04:43:00,4.716,2637.093,4.159,328.0,170.0
04SEP2026 04:44:00,4.732799999999999,2616.974,4.153,328.0,170.0
04SEP2026 04:45:00,4.7496,2597.052,4.146,328.0,170.0
04SEP2026 04:46:00,4.7664,2577.328,4.139,328.0,170.0
04SEP2026 04:47:00,4.7832,2557.825,4.133,328.0,170.0
04SEP2026 04:48:00,4.800000000000001,2538.542,4.126,328.0,170.0
04SEP2026 04:49:00,4.8168,2519.452,4.12,328.0,170.0
04SEP2026 04:50:00,4.8336,2500.554,4.114,328.0,170.0
04SEP2026 04:51:00,4.8504000000000005,2481.873,4.108,328.0,170.0
04SEP2026 04:52:00,4.8672,2463.356,4.102,328.0,170.0
04SEP2026 04:53:00,4.8839999999999995,2445.054,4.096,328.0,170.0
04SEP2026 04:54:00,4.9008,2426.94,4.09,328.0,170.0
04SEP2026 04:55:00,4.9176,2409.037,4.084,328.0,170.0
04SEP2026 04:56:00,4.9344,2391.295,4.078,328.0,170.0
04SEP2026 04:57:00,4.9512,2373.738,4.072,328.0,170.0
04SEP2026 04:58:00,4.9656,2356.364,4.066,328.0,170.0
04SEP2026 04:59:00,4.9824,2339.174,4.061,328.0,170.0
04SEP2026 05:00:00,4.9992,2322.14,4.055,328.0,170.0
04SEP2026 05:01:00,5.016,2305.312,4.05,328.0,170.0
04SEP2026 05:02:00,5.0328,2288.639,4.045,328.0,170.0
04SEP2026 05:03:00,5.0496,2272.121,4.039,328.0,170.0
04SEP2026 05:04:00,5.0664,2255.804,4.034,328.0,170.0
04SEP2026 05:05:00,5.0832,2239.64,4.029,328.0,170.0
04SEP2026 05:06:00,5.1,2223.629,4.024,328.0,170.0
04SEP2026 05:07:00,5.1168,2207.791,4.019,328.0,170.0
04SEP2026 05:08:00,5.1336,2192.104,4.014,328.0,170.0
04SEP2026 05:09:00,5.1504,2176.59,4.009,328.0,170.0
04SEP2026 05:10:00,5.167199999999999,2161.225,4.004,328.0,170.0
04SEP2026 05:11:00,5.184,2146.007,4.0,328.0,170.0
04SEP2026 05:12:00,5.2008,2130.959,3.995,328.0,170.0
04SEP2026 05:13:00,5.2176,2116.034,3.99,328.0,170.0
04SEP2026 05:14:00,5.2344,2101.278,3.986,328.0,170.0
04SEP2026 05:15:00,5.2512,2086.667,3.981,328.0,170.0
04SEP2026 05:16:00,5.2656,2072.198,3.977,328.0,170.0
04SEP2026 05:17:00,5.2824,2057.873,3.973,328.0,170.0
04SEP2026 05:18:00,5.2992,2043.713,3.969,328.0,170.0
04SEP2026 05:19:00,5.316,2029.67,3.965,328.0,170.0
04SEP2026 05:20:00,5.332800000000001,2015.747,3.961,328.0,170.0
04SEP2026 05:21:00,5.3496,2001.986,3.957,328.0,170.0
04SEP2026 05:22:00,5.3664,1988.364,3.953,328.0,170.0
04SEP2026 05:23:00,5.3832,1974.857,3.949,328.0,170.0
04SEP2026 05:24:00,5.4,1961.512,3.945,328.0,170.0
04SEP2026 05:25:00,5.4168,1948.28,3.941,328.0,170.0
04SEP2026 05:26:00,5.4336,1935.162,3.938,328.0,170.0
04SEP2026 05:27:00,5.4504,1922.18,3.934,328.0,170.0
04SEP2026 05:28:00,5.4672,1909.334,3.931,328.0,170.0
04SEP2026 05:29:00,5.484,1896.621,3.928,328.0,170.0
04SEP2026 05:30:00,5.5008,1884.018,3.924,328.0,170.0
04SEP2026 05:31:00,5.5176,1871.528,3.921,328.0,170.0
04SEP2026 05:32:00,5.5344,1859.17,3.918,328.0,170.0
04SEP2026 05:33:00,5.5512,1846.943,3.915,328.0,170.0
04SEP2026 05:34:00,5.5656,1834.825,3.912,328.0,170.0
04SEP2026 05:35:00,5.5824,1822.815,3.909,328.0,170.0
04SEP2026 05:36:00,5.5992,1810.914,3.906,328.0,170.0
04SEP2026 05:37:00,5.6160000000000005,1799.142,3.903,328.0,170.0
04SEP2026 05:38:00,5.6328,1787.476,3.901,328.0,170.0
04SEP2026 05:39:00,5.6495999999999995,1775.938,3.898,328.0,170.0
04SEP2026 05:40:00,5.6664,1764.506,3.895,328.0,170.0
04SEP2026 05:41:00,5.6832,1753.157,3.893,328.0,170.0
